DSA,Listing Center,Listing Center Zipcode,Number of Liver Registrations
KYDA-OP1 Kentucky Organ Donor Affiliates,KYJH-TX1 Jewish Hospital,40202,169
KYDA-OP1 Kentucky Organ Donor Affiliates,KYUK-TX1 University of Kentucky Medical Center,40536,535
LAOP-OP1 Louisiana Organ Procurement Agency,LACH-TX1 Children's Hospital,70118,3
LAOP-OP1 Louisiana Organ Procurement Agency,LAOF-TX1 Ochsner Foundation Hospital,70121,1063
LAOP-OP1 Louisiana Organ Procurement Agency,LATU-TX1 Tulane Medical Center,70112,119
LAOP-OP1 Louisiana Organ Procurement Agency,LAWK-TX1 Willis-Knighton Medical Center,71103,132
MAOB-OP1 New England Organ Bank,CTHH-TX1 Hartford Hospital,06102,240
MAOB-OP1 New England Organ Bank,CTYN-TX1 Yale New Haven Hospital,06510,325
MAOB-OP1 New England Organ Bank,MABI-TX1 Beth Israel Deaconess Medical Center,02215,471
MAOB-OP1 New England Organ Bank,MACH-TX1 Boston Children's Hospital,02115,64
MAOB-OP1 New England Organ Bank,MALC-TX1 Lahey Clinic Medical Center,01805,552
MAOB-OP1 New England Organ Bank,MAMG-TX1 Massachusetts General Hospital,02114,920
MAOB-OP1 New England Organ Bank,MAUM-TX1 UMass Memorial Medical Center,01655,732
MDPC-OP1 Infinite Legacy,DCGU-TX1 Medstar Georgetown Transplant Institute,20007,915
MDPC-OP1 Infinite Legacy,DCGW-TX1 George Washington University Hospital,20037,21
MDPC-OP1 Infinite Legacy,MDJH-TX1 Johns Hopkins Hospital,21287,920
MDPC-OP1 Infinite Legacy,MDUM-TX1 University of Maryland Medical System,21201,802
MIOP-OP1 Gift of Life Michigan,MIBH-TX1 William Beaumont Hospital,48073,248
MIOP-OP1 Gift of Life Michigan,MICH-TX1 Children's Hospital of Michigan,48201,11
MIOP-OP1 Gift of Life Michigan,MIHF-TX1 Henry Ford Hospital,48202,699
MIOP-OP1 Gift of Life Michigan,MIUM-TX1 University of Michigan Medical Center,48109,519
MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MNMC-TX1 Mayo Clinic Hospital Minnesota,55902,767
MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,"MNUM-TX1 University of Minnesota Medical Center, Fairview",55454,618
MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,SDMK-TX1 Avera McKennan Hospital,57105,151
MOMA-OP1 Mid-America Transplant Services,MOBH-TX1 Barnes-Jewish Hospital,63110,756
MOMA-OP1 Mid-America Transplant Services,MOCG-TX1 Cardinal Glennon Children's Hospital,63104,13
MOMA-OP1 Mid-America Transplant Services,MOCH-TX1 St. Louis Children's Hospital at Washington University Medical Center,63110,97
MOMA-OP1 Mid-America Transplant Services,MOSL-TX1 SSM Health Saint Louis University Hospital,63104,262
MSOP-OP1 Mississippi Organ Recovery Agency,MSUM-TX1 University of Mississippi Medical Center,39216,291
MWOB-OP1 Midwest Transplant Network,KSUK-TX1 University of Kansas Hospital,66103,507
MWOB-OP1 Midwest Transplant Network,MOCM-TX1 Children's Mercy Hospital,64108,42
MWOB-OP1 Midwest Transplant Network,MOLH-TX1 St Luke's Hospital of Kansas City,64111,179
NCCM-IO1 LifeShare Carolinas,NCCM-TX1 Carolinas Medical Center,28203,523
NCNC-OP1 HonorBridge,NCDU-TX1 Duke University Hospital,27710,686
NCNC-OP1 HonorBridge,NCMH-TX1 University of North Carolina Hospitals,27514,267
NEOR-OP1 Live On Nebraska,NEUN-TX1 The Nebraska Medical Center,68105,668
NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NJLL-TX1 Virtua Our Lady of Lourdes Hospital,08103,192
NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NJUH-TX1 University Hospital,07103,409
NYFL-IO1 Finger Lakes Donor Recovery Network,"NYFL-TX1 Strong Memorial Hospital, University of Rochester Medical Center",14642,518
NYRT-OP1 LiveOnNY,NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,10032,639
NYRT-OP1 LiveOnNY,NYMA-TX1 Montefiore Medical Center,10467,396
NYRT-OP1 LiveOnNY,NYMS-TX1 Mount Sinai Medical Center,10029,1281
NYRT-OP1 LiveOnNY,NYNS-TX1 North Shore University Hospital/Northwell Health,11030,157
NYRT-OP1 LiveOnNY,NYNY-TX1 New York-Presbyterian Hospital/Weill Cornell Medical Center,10065,430
NYRT-OP1 LiveOnNY,NYUC-TX1 NYU Langone Health,10016,427
NYRT-OP1 LiveOnNY,NYWC-TX1 Westchester Medical Center,10595,431
OHLB-OP1 Lifebanc,OHCC-TX1 The Cleveland Clinic Foundation,44195,1174
OHLB-OP1 Lifebanc,OHUH-TX1 University Hospitals of Cleveland,44106,270
OHLP-OP1 Lifeline of Ohio,OHCH-TX1 Nationwide Children's Hospital,43205,22
OHLP-OP1 Lifeline of Ohio,OHOU-TX1 Ohio State University Medical Center,43210,967
OHOV-OP1 LifeCenter Organ Donor Network,OHCM-TX1 Children's Hospital Medical Center,45229,141
OHOV-OP1 LifeCenter Organ Donor Network,OHUC-TX1 University of Cincinnati  Medical Center,45267,795
OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,OKBC-TX1 Integris Baptist Medical Center,73112,503
OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,OKMD-TX1 OU Medical Center,73104,145
ORUO-IO1 Cascade Life Alliance,ORUO-TX1 Oregon Health and Science University,97239,471
ORUO-IO1 Cascade Life Alliance,ORVA-TX1 VA Portland Health Care System,97239,155
PADV-OP1 Gift of Life Donor Program,DEAI-TX1 Nemours Children's Hospital Delaware,19803,43
PADV-OP1 Gift of Life Donor Program,PAAE-TX1 Albert Einstein Medical Center,19141,535
PADV-OP1 Gift of Life Donor Program,PACP-TX1 Children's Hospital of Philadelphia,19104,99
PADV-OP1 Gift of Life Donor Program,PAGM-TX1 Geisinger Medical Center,17822,109
PADV-OP1 Gift of Life Donor Program,PAHE-TX1 Penn State Milton S Hershey Medical Center,17033,235
PADV-OP1 Gift of Life Donor Program,PAHM-TX1 Hahnemann University Hospital,19102,27
PADV-OP1 Gift of Life Donor Program,PARH-TX1 Reading Hospital,19611,16
PADV-OP1 Gift of Life Donor Program,PATJ-TX1 Thomas Jefferson University Hospital,19107,639
PADV-OP1 Gift of Life Donor Program,PATU-TX1 Temple University Hospital,19140,128
PADV-OP1 Gift of Life Donor Program,PAUP-TX1 Hospital of the University of Pennsylvania,19104,1010
PATF-OP1 Center for Organ Recovery and Education,PAAG-TX1 Allegheny General Hospital,15212,277
PATF-OP1 Center for Organ Recovery and Education,PACH-TX1 UPMC Children's Hospital of Pittsburgh,15224,144
PATF-OP1 Center for Organ Recovery and Education,PAPT-TX1 University of Pittsburgh Medical Center,15213,884
PATF-OP1 Center for Organ Recovery and Education,PAVA-TX1 VA Pittsburgh Healthcare System,15240,249
PRLL-OP1 LifeLink of Puerto Rico,PRSJ-TX1 Auxilio Mutuo Hospital,00919,242
SCOP-OP1 We Are Sharing Hope SC,SCMU-TX1 Medical University of South Carolina,29425,524
TNDS-OP1 Tennessee Donor Services,TNVU-TX1 Vanderbilt University Medical Center,37232,1020
TNMS-OP1 Mid-South Transplant Foundation,TNLB-TX1 Le Bonheur Children's Medical Center,38103,16
TNMS-OP1 Mid-South Transplant Foundation,TNMH-TX1 Methodist University Hospital,38104,659
TXGC-OP1 LifeGift Organ Donation Center,TXAS-TX1 Baylor  Scott and White All Saints Medical Center-Fort Worth,76104,665
TXGC-OP1 LifeGift Organ Donation Center,"TXHH-TX1 Memorial Hermann Hospital, University of Texas at Houston",77030,232
TXGC-OP1 LifeGift Organ Donation Center,TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,77030,845
TXGC-OP1 LifeGift Organ Donation Center,TXMH-TX1 Houston Methodist Hospital,77030,1558
TXGC-OP1 LifeGift Organ Donation Center,TXPL-TX1 Medical City Fort Worth,76104,3
TXGC-OP1 LifeGift Organ Donation Center,TXTC-TX1 Texas Children's Hospital,77030,226
TXGC-OP1 LifeGift Organ Donation Center,TXVA-TX1 Michael E. DeBakey VA Medical Center,77030,165
TXSA-OP1 Texas Organ Sharing Alliance,"TXBC-TX1 University Hospital, University of Texas Health Science Center",78229,856
TXSA-OP1 Texas Organ Sharing Alliance,TXHS-TX1 Methodist Specialty and Transplant Hospital,78229,728
TXSA-OP1 Texas Organ Sharing Alliance,TXUC-TX1 University Children's Health,78229,23
TXSB-OP1 Southwest Transplant Alliance,TXCM-TX1 Children's Medical Center of Dallas,75235,73
TXSB-OP1 Southwest Transplant Alliance,TXHD-TX1 Medical City Dallas Hospital,75230,2
TXSB-OP1 Southwest Transplant Alliance,TXJS-TX1 University of Texas Medical Branch at Galveston,77555,158
TXSB-OP1 Southwest Transplant Alliance,TXMC-TX1 Methodist Dallas Medical Center,75203,538
TXSB-OP1 Southwest Transplant Alliance,TXSP-TX1 UT Southwestern Medical Center/William P. Clements Jr. University Hospital,75390,909
TXSB-OP1 Southwest Transplant Alliance,TXTX-TX1 Baylor University Medical Center,75246,786
UTOP-OP1 DonorConnect,UTLD-TX1 Intermountain Medical Center,84107,500
UTOP-OP1 DonorConnect,UTMC-TX1 University of Utah Medical Center,84132,336
UTOP-OP1 DonorConnect,UTPC-TX1 Primary Children's Hospital,84113,88
VATB-OP1 LifeNet Health,"VAMC-TX1 VCU Health System Authority, VCUMC",23298,938
VATB-OP1 LifeNet Health,VAUV-TX1 University of Virginia Health Sciences Center,22908,607
WALC-OP1 LifeCenter Northwest,WACH-TX1 Seattle Children's Hospital,98105,92
WALC-OP1 LifeCenter Northwest,WASM-TX1 Swedish Medical Center,98122,343
WALC-OP1 LifeCenter Northwest,WAUW-TX1 University of Washington Medical Center,98195,748
"WIDN-OP1 Versiti Wisconsin, Inc",WICH-TX1 Children's Hospital of Wisconsin,53226,45
"WIDN-OP1 Versiti Wisconsin, Inc",WISE-TX1 Froedtert Memorial Lutheran Hospital,53226,428
"WIDN-OP1 Versiti Wisconsin, Inc",WISL-TX1 Aurora St. Luke's Medical Center,53215,238
WIUW-IO1 UW Health Organ and Tissue Donation,WIUW-TX1 University of Wisconsin Hospital and Clinics,53792,744
